Date,Open,High,Low,Close,Volume,Adj_Close,Code
2015-12-31,70.010002,70.32,69.529999,69.550003,3531300,69.246929,AXP
2015-12-30,70.510002,70.75,70.080002,70.160004,2792700,69.854272,AXP
2015-12-29,70.279999,70.610001,70.120003,70.550003,3838800,70.242572,AXP
2015-12-28,70,70.099998,69.360001,69.760002,2860700,69.456013,AXP
2015-12-24,69.739998,70.510002,69.739998,70.160004,1956400,69.854272,AXP
2015-12-23,69.050003,69.989998,68.940002,69.970001,5278000,69.665097,AXP
2015-12-22,68.739998,69.129997,68.209999,68.849998,3796800,68.549975,AXP
2015-12-21,68.150002,68.769997,67.989998,68.400002,4733400,68.101939,AXP
2015-12-18,69.129997,69.129997,67.57,67.870003,17898900,67.57425,AXP
2015-12-17,70.790001,70.959999,69.410004,69.57,4800000,69.266839,AXP
2015-12-16,70.709999,70.959999,69.800003,70.709999,5581800,70.401871,AXP
2015-12-15,69.75,70.639999,69.589996,70.150002,6233300,69.844313,AXP
2015-12-14,68.989998,69.419998,67.800003,68.830002,6393000,68.530066,AXP
2015-12-11,69.040001,69.830002,68.480003,68.860001,9094300,68.559934,AXP
2015-12-10,69.739998,70.650002,69.610001,70.110001,4783000,69.804487,AXP
2015-12-09,69.440002,70.800003,69.349998,69.860001,6910700,69.555576,AXP
2015-12-08,70.040001,70.150002,69.309998,69.910004,7669100,69.605361,AXP
2015-12-07,70.82,71.089996,70.169998,70.610001,5926400,70.302308,AXP
2015-12-04,70.5,71.309998,70.360001,71.099998,4993400,70.790171,AXP
2015-12-03,71.410004,71.699997,70.120003,70.419998,6807800,70.113133,AXP
2015-12-02,72.139999,72.440002,71.059998,71.199997,4146000,70.889733,AXP
2015-12-01,72,72.440002,71.57,72.199997,4193500,71.885376,AXP
2015-11-30,71.849998,72.07,71.419998,71.639999,5377200,71.327818,AXP
2015-11-27,71.800003,72,71.43,71.849998,1547500,71.536902,AXP
2015-11-25,71.699997,71.800003,71.25,71.690002,4391300,71.377604,AXP
2015-11-24,71.870003,71.959999,71,71.629997,4873100,71.31786,AXP
2015-11-23,72.459999,72.739998,72.169998,72.239998,3251400,71.925202,AXP
2015-11-20,72.879997,73.349998,72.099998,72.419998,4429600,72.104418,AXP
2015-11-19,72.099998,72.879997,72.07,72.739998,4851300,72.423023,AXP
2015-11-18,71.129997,72.169998,71.129997,72.150002,5817000,71.835598,AXP
2015-11-17,71.919998,72.029999,70.959999,71.110001,5867700,70.800129,AXP
