Date,Open,High,Low,Close,Volume,Adj Close,Code
2015-12-31,77.510002,78.440002,77.43,77.949997,10285500,77.24887,XOM
2015-12-30,78.32,78.989998,77.970001,78.110001,9314600,77.407434,XOM
2015-12-29,79.989998,80.080002,78.839996,79.160004,8839000,78.447993,XOM
2015-12-28,78.120003,78.860001,77.910004,78.739998,9715800,78.031765,XOM
2015-12-24,80.269997,80.269997,79.120003,79.330002,5848300,78.616462,XOM
2015-12-23,78.68,80.220001,78.32,80.190002,15184200,79.468727,XOM
2015-12-22,77.699997,77.900002,77.209999,77.650002,13855800,76.951572,XOM
2015-12-21,77.790001,78.099998,76.650002,77.260002,14460500,76.565081,XOM
2015-12-18,77.57,78.779999,77.059998,77.279999,28836000,76.584898,XOM
2015-12-17,79.019997,79.230003,77.949997,77.959999,17362900,77.258782,XOM
2015-12-16,79.040001,79.610001,78,79.150002,17233900,78.438081,XOM
2015-12-15,77.43,79.599998,77.330002,79.43,24344700,78.715561,XOM
2015-12-14,74.300003,76.220001,74.089996,76.029999,21976500,75.346141,XOM
2015-12-11,74.82,75.540001,74.339996,74.339996,20473100,73.671339,XOM
2015-12-10,75.800003,77.5,75.519997,75.690002,20142400,75.009203,XOM
2015-12-09,74.839996,77.190002,74.730003,75.629997,22036300,74.949737,XOM
2015-12-08,75.269997,76.349998,73.790001,74.629997,24217600,73.958732,XOM
2015-12-07,77.330002,77.5,75.75,76.800003,17676100,76.109219,XOM
2015-12-04,77.349998,78.980003,77.029999,78.860001,20156400,78.150688,XOM
2015-12-03,79.720001,79.849998,78.019997,78.410004,14870300,77.704739,XOM
2015-12-02,81.309998,81.639999,79.419998,79.550003,16300000,78.834484,XOM
2015-12-01,81.760002,82.129997,81.269997,81.889999,13917000,81.153433,XOM
2015-11-30,81.419998,82.650002,81.25,81.660004,17729200,80.925506,XOM
2015-11-27,80.580002,81.260002,80.459999,81.230003,4156600,80.499374,XOM
2015-11-25,81.300003,82.169998,81.099998,81.25,8980400,80.51919,XOM
2015-11-24,80.349998,82.349998,80.199997,81.879997,15055500,81.143521,XOM
2015-11-23,79.599998,80.709999,79.059998,80.279999,11868400,79.557914,XOM
2015-11-20,80.57,80.940002,79.650002,79.790001,10144400,79.072323,XOM
2015-11-19,80.510002,80.779999,80.040001,80.300003,9453300,79.577738,XOM
2015-11-18,79.889999,80.900002,79.589996,80.739998,10884600,80.013776,XOM
2015-11-17,80.709999,80.879997,79.629997,79.959999,10011700,79.240793,XOM
2015-11-16,77.940002,80.989998,77.910004,80.900002,14548100,80.17234,XOM
2015-11-13,79.279999,79.580002,77.940002,78.099998,17527300,77.397522,XOM
2015-11-12,80.57,81.279999,79.32,79.410004,16050600,78.695744,XOM
2015-11-11,82.419998,82.559998,81.400002,81.620003,9598000,80.885865,XOM
2015-11-10,81.93,82.610001,81.860001,82.349998,14238000,81.609295,XOM
2015-11-09,83.559998,83.599998,81.800003,81.949997,13551200,81.212891,XOM
2015-11-06,83.93,84.470001,83.220001,84.470001,12491700,82.986793,XOM
2015-11-05,85.550003,86.230003,84.5,84.809998,12291100,83.320819,XOM
2015-11-04,86.769997,87.080002,85.699997,85.980003,14245400,84.470281,XOM
2015-11-03,85.660004,87.440002,85.580002,86.849998,20115900,85.325,XOM
2015-11-02,82.300003,85.93,82.089996,85.279999,21266500,83.782568,XOM
2015-10-30,82.470001,83.879997,81.260002,82.739998,18758600,81.287167,XOM
2015-10-29,81.790001,83.220001,81.790001,82.230003,10341200,80.786127,XOM
2015-10-28,81.309998,82.580002,80.93,82.279999,12473000,80.835245,XOM
2015-10-27,80.57,81.160004,79.730003,81.089996,13579400,79.666138,XOM
2015-10-26,82.519997,82.730003,81.169998,81.220001,12576400,79.79386,XOM
2015-10-23,82.410004,83,81.889999,82.980003,13215700,81.522958,XOM
2015-10-22,80.68,82.959999,80.660004,82.889999,14823500,81.434535,XOM
2015-10-21,80.860001,81.150002,80.110001,80.209999,10274900,78.801592,XOM
2015-10-20,80.550003,81.059998,80.199997,80.830002,12340100,79.410708,XOM
2015-10-19,82.010002,82.169998,80.760002,80.989998,14155800,79.567895,XOM
2015-10-16,82.260002,82.5,81.449997,82.480003,13251200,81.031738,XOM
2015-10-15,80.190002,81.529999,79.900002,81.480003,13640900,80.049297,XOM
2015-10-14,78.970001,80.480003,78.779999,80.160004,14486000,78.752475,XOM
2015-10-13,78.720001,79.550003,78.489998,79.160004,12326600,77.770034,XOM
2015-10-12,79.589996,79.589996,78.720001,79.300003,9931800,77.907575,XOM
2015-10-09,80.050003,80.169998,78.620003,79.260002,17384700,77.868276,XOM
2015-10-08,79.309998,80.110001,78.540001,80.029999,14344700,78.624753,XOM
2015-10-07,78.970001,79.290001,77.529999,79.199997,18666300,77.809325,XOM
2015-10-06,76.959999,78.559998,76.260002,77.889999,18757900,76.52233,XOM
2015-10-05,76.650002,77.150002,75.790001,76.809998,18486700,75.461291,XOM
2015-10-02,73.389999,75.900002,73.029999,75.879997,18811300,74.547621,XOM
2015-10-01,75.199997,75.580002,73.300003,74.059998,14397800,72.759579,XOM
2015-09-30,73.400002,74.349998,73.330002,74.349998,18176500,73.044487,XOM
2015-09-29,72.650002,73.190002,72.139999,72.970001,13754400,71.688722,XOM
2015-09-28,72.620003,73.459999,72.400002,72.599998,14571900,71.325216,XOM
2015-09-25,73.290001,73.529999,72.760002,73.230003,15175300,71.944158,XOM
2015-09-24,72,73.150002,71.720001,72.730003,14584200,71.452938,XOM
2015-09-23,72.870003,73.199997,72.290001,72.300003,13784800,71.030488,XOM
2015-09-22,72.349998,73.519997,72.019997,72.739998,14245200,71.462757,XOM
2015-09-21,73.099998,73.610001,72.730003,73.389999,10853000,72.101345,XOM
2015-09-18,73.260002,73.559998,72.120003,72.68,23180200,71.403813,XOM
2015-09-17,74.410004,75.470001,73.849998,74.459999,15603000,73.152557,XOM
2015-09-16,73.510002,74.699997,73.370003,74.300003,15214200,72.99537,XOM
2015-09-15,72.440002,73.309998,72.410004,72.860001,11979800,71.580652,XOM
2015-09-14,72.309998,72.580002,71.760002,72.489998,10738500,71.217147,XOM
2015-09-11,72.400002,72.720001,72.010002,72.690002,12172300,71.413639,XOM
2015-09-10,72.809998,72.980003,71.800003,72.519997,12353900,71.246619,XOM
2015-09-09,74.370003,74.68,71.849998,72,17246200,70.735753,XOM
2015-09-08,73.720001,73.720001,72.970001,73.5,13626900,72.209414,XOM
2015-09-04,72.93,73.139999,72.25,72.459999,14902500,71.187675,XOM
2015-09-03,73.639999,74.910004,73.339996,73.790001,13451900,72.494323,XOM
2015-09-02,73.059998,73.239998,72,73.230003,16936900,71.944158,XOM
2015-09-01,73.300003,73.349998,71.510002,72.080002,24092900,70.81435,XOM
2015-08-31,74.279999,75.550003,73.300003,75.239998,19570100,73.918859,XOM
2015-08-28,74.709999,75.980003,74.410004,75.07,18997300,73.751846,XOM
2015-08-27,73.800003,74.889999,73.010002,74.849998,24571000,73.535708,XOM
2015-08-26,70.629997,72.75,69.150002,72.5,34436000,71.226973,XOM
2015-08-25,71.309998,71.440002,68.199997,68.709999,30409700,67.503521,XOM
2015-08-24,67.989998,71.379997,66.550003,68.720001,35531200,67.513347,XOM
2015-08-21,74.099998,74.889999,72.07,72.129997,25488800,70.863467,XOM
2015-08-20,76,76.18,74.57,74.57,17811200,73.260626,XOM
2015-08-19,77.510002,77.580002,75.93,76.230003,17010100,74.891481,XOM
2015-08-18,78.529999,78.669998,77.580002,77.900002,9815300,76.532156,XOM
2015-08-17,77.93,79.18,77.449997,78.769997,9365400,77.386875,XOM
2015-08-14,78.639999,79.279999,78.25,78.360001,9129300,76.984078,XOM
2015-08-13,78.32,79.290001,78.269997,78.650002,13154100,77.268987,XOM
2015-08-12,77.440002,78.870003,76.959999,78.790001,16492400,77.406528,XOM
2015-08-11,77.010002,78.07,76.330002,77.489998,14486400,76.129352,XOM
2015-08-10,77.089996,78.75,77.089996,78.75,14876000,76.650049,XOM
2015-08-07,77.550003,77.970001,76.620003,76.830002,12187600,74.78125,XOM
2015-08-06,76.940002,78.260002,76.910004,78.089996,13005200,76.007645,XOM
2015-08-05,77.870003,78.230003,76.900002,77.169998,16544400,75.11218,XOM
2015-08-04,77.879997,78.610001,76.93,77.169998,18874400,75.11218,XOM
2015-08-03,78.699997,78.93,77.629997,78.059998,15767700,75.978446,XOM
2015-07-31,81.669998,81.669998,78.93,79.209999,26232700,77.097782,XOM
2015-07-30,83.18,83.32,82.419998,83.010002,11139900,80.796454,XOM
2015-07-29,82.18,83.199997,81.910004,83.139999,13913800,80.922984,XOM
