Date,Open,High,Low,Close,Volume,Adj_Close,Code
2015-10-15,135.160004,137.669998,135,137.389999,6368300,135.293775,BA
2015-10-14,139.75,140.889999,133.580002,134.220001,8752300,132.172143,BA
2015-10-13,139.440002,140.5,139.429993,140.289993,2339700,138.149522,BA
2015-10-12,139.929993,141.070007,139.320007,140.679993,1942200,138.533571,BA
2015-10-09,139.039993,140.240005,138.360001,139.699997,3065700,137.568527,BA
2015-10-08,136.660004,139.350006,136.070007,139.039993,2835700,136.918594,BA
2015-10-07,135.690002,137.729996,135.259995,137.020004,3263800,134.929425,BA
2015-10-06,134.100006,135.539993,133.669998,134.630005,3059600,132.575891,BA
2015-10-05,132.279999,134.149994,131.350006,134.020004,4587500,131.975197,BA
2015-10-02,129,132.589996,128.559998,132.559998,3020500,130.537466,BA
2015-10-01,131.320007,131.789993,128.979996,130.610001,2878400,128.617221,BA
2015-09-30,130.270004,131.410004,129.619995,130.949997,3062500,128.95203,BA
2015-09-29,128.110001,129.149994,127.470001,128.75,2935100,126.7856,BA
2015-09-28,130.440002,130.479996,128.029999,128.130005,4160000,126.175064,BA
2015-09-25,131.570007,131.729996,129.279999,131.009995,4149900,129.011112,BA
2015-09-24,130.720001,130.770004,127.18,129.75,5297800,127.770342,BA
2015-09-23,134.660004,135,131.610001,131.669998,4907500,129.661046,BA
2015-09-22,134.490005,134.490005,132.520004,133.990005,3465000,131.945656,BA
2015-09-21,136.419998,137.449997,134.940002,136.020004,2460900,133.944682,BA
2015-09-18,135.75,137.690002,134.399994,136.089996,7302700,134.013606,BA
2015-09-17,137.360001,139.910004,136.940002,137.449997,3405600,135.352857,BA
2015-09-16,136.259995,137.429993,136.009995,137.199997,2505000,135.106671,BA
2015-09-15,134.520004,137,134.520004,136.300003,3761800,134.220409,BA
2015-09-14,134.720001,135.130005,133.729996,134.429993,2389600,132.37893,BA
2015-09-11,133.160004,134.860001,132.889999,134.669998,2628200,132.615274,BA
2015-09-10,132.339996,134.570007,132.270004,133.550003,2932200,131.512367,BA
2015-09-09,135.589996,136.25,132.210007,132.649994,4713900,130.62609,BA
2015-09-08,132.270004,133.990005,132,133.820007,3505800,131.778252,BA
2015-09-04,129.550003,130.490005,128.660004,129.759995,3746700,127.780184,BA
2015-09-03,132.309998,132.350006,130.479996,131.020004,3379500,129.020969,BA
2015-09-02,128.710007,130.669998,127.739998,130.630005,4809300,128.63692,BA
2015-09-01,128.160004,128.990005,126.940002,127.440002,5772700,125.495589,BA
2015-08-31,132.369995,132.699997,130.389999,130.679993,4231700,128.686146,BA
2015-08-28,131.429993,133.720001,130.860001,133.240005,4508800,131.207099,BA
2015-08-27,131.080002,132.360001,129.460007,131.869995,5754600,129.857992,BA
2015-08-26,129.339996,129.759995,125.230003,129.339996,6428400,127.366594,BA
2015-08-25,130,130.720001,125.43,125.489998,7159100,123.575337,BA
2015-08-24,123.639999,135.5,115.139999,127.190002,9425800,125.249404,BA
2015-08-21,134.880005,135.089996,131.460007,131.710007,7957600,129.700444,BA
2015-08-20,141.619995,141.899994,136.899994,137.020004,6601400,134.929425,BA
2015-08-19,143.419998,144.479996,142.320007,142.720001,2967700,140.542454,BA
2015-08-18,144.389999,145.210007,143.820007,144.600006,1955500,142.393775,BA
2015-08-17,144.600006,144.860001,142.929993,144.440002,3746000,142.236212,BA
2015-08-14,144.610001,145.470001,143.759995,145.089996,2927100,142.876289,BA
2015-08-13,142.029999,145.449997,141.529999,144.809998,5129500,142.600562,BA
2015-08-12,142.550003,143.009995,139.860001,142.429993,4355800,140.25687,BA
2015-08-11,144.139999,144.929993,143.279999,144.050003,2816700,141.852163,BA
2015-08-10,143.789993,146.770004,143.779999,145.860001,3432600,143.634545,BA
