Date,Open,High,Low,Close,Volume,Adj_Close,Code
2015-12-31,151.729996,152.119995,150.630005,150.639999,1607100,149.559414,MMM
2015-12-30,152.789993,153.699997,151.729996,151.910004,1553100,150.820308,MMM
2015-12-29,152.199997,153.259995,152,152.889999,1824700,151.793274,MMM
2015-12-28,151.130005,151.770004,150.270004,151.220001,1275200,150.135255,MMM
2015-12-24,150.820007,151.800003,150.580002,151.190002,848400,150.105471,MMM
2015-12-23,149.690002,151.580002,149.520004,151.160004,2215300,150.075688,MMM
2015-12-22,148.119995,149.490005,147.279999,148.970001,2528700,147.901395,MMM
2015-12-21,147.580002,148.330002,146.690002,147.479996,2284400,146.422078,MMM
2015-12-18,148.210007,148.600006,146.759995,146.919998,5736400,145.866097,MMM
2015-12-17,150.149994,150.860001,148.830002,148.850006,3053900,147.78226,MMM
2015-12-16,148.149994,150.539993,147.740005,149.949997,4774100,148.874361,MMM
2015-12-15,151.990005,153.020004,147.080002,148.130005,8625300,147.067424,MMM
2015-12-14,155.289993,157.770004,154.339996,157.630005,3462200,156.499278,MMM
2015-12-11,155.550003,156.399994,154.419998,154.830002,2523200,153.71936,MMM
2015-12-10,155.729996,158.690002,155.589996,157.520004,2551200,156.390066,MMM
2015-12-09,156.169998,158.240005,154.940002,156.050003,2660800,154.93061,MMM
2015-12-08,156.440002,157.860001,155.679993,156.789993,2350400,155.665292,MMM
2015-12-07,157.529999,158,156.809998,157.75,2142800,156.618412,MMM
2015-12-04,154.789993,158.389999,154.570007,158.220001,2175800,157.085042,MMM
2015-12-03,156.559998,156.899994,153.710007,154.380005,2609500,153.272591,MMM
2015-12-02,156.880005,157.25,155.509995,155.699997,2034700,154.583114,MMM
2015-12-01,156.410004,157.669998,156.169998,156.899994,2259000,155.774503,MMM
2015-11-30,158.100006,158.470001,156.570007,156.580002,2934200,155.456807,MMM
2015-11-27,157.509995,158.490005,156.940002,157.990005,876100,156.856696,MMM
2015-11-25,158.059998,158.470001,157.630005,157.630005,1184100,156.499278,MMM
2015-11-24,157.369995,158.339996,156.889999,157.75,2100600,156.618412,MMM
2015-11-23,158.899994,159.770004,158.160004,158.649994,1430400,157.51195,MMM
2015-11-20,158.679993,159.839996,158.339996,158.949997,1891100,157.809801,MMM
2015-11-19,157.630005,158.509995,156.710007,158.380005,1518200,157.243898,MMM
2015-11-18,156.179993,157.5,156.080002,157.389999,2226900,156.260994,MMM
2015-11-17,158.360001,158.529999,156.520004,157.029999,2393000,154.885922,MMM
2015-11-16,155.610001,158.259995,155.610001,158.210007,2395000,156.049818,MMM
2015-11-13,156,156.919998,155.600006,155.649994,2434500,153.524759,MMM
2015-11-12,157.779999,158.289993,156.160004,156.300003,2305600,154.165893,MMM
2015-11-11,157.860001,159.490005,157.539993,159.050003,2518900,156.878345,MMM
2015-11-10,157.229996,157.639999,156.429993,157.589996,1962900,155.438273,MMM
2015-11-09,158.669998,158.669998,156.75,157.470001,2421000,155.319916,MMM
2015-11-06,158.020004,159.259995,157.729996,159.259995,1860000,157.085469,MMM
2015-11-05,159.380005,159.580002,158.270004,158.990005,2023900,156.819166,MMM
2015-11-04,159,159.479996,158.610001,158.910004,2254000,156.740257,MMM
2015-11-03,159.479996,159.800003,158.669998,158.75,2972800,156.582438,MMM
2015-11-02,157.509995,160.089996,157.339996,159.919998,2701800,157.736461,MMM
2015-10-30,157.800003,158.679993,157.210007,157.210007,2672100,155.063472,MMM
2015-10-29,157.75,157.910004,156.880005,157.610001,1484600,155.458004,MMM
2015-10-28,156.490005,158.330002,156.199997,158.080002,2724700,155.921588,MMM
2015-10-27,156,157,155.080002,156.729996,1970100,154.590015,MMM
2015-10-26,156.059998,156.759995,155.639999,156.539993,2136100,154.402607,MMM
2015-10-23,156.539993,157.190002,154.5,155.789993,2997400,153.662847,MMM
2015-10-22,151.339996,157.039993,150.649994,156,5111900,153.869986,MMM
2015-10-21,149.5,151.389999,148.899994,149.820007,3009900,147.774375,MMM
2015-10-20,147.449997,149.669998,147.130005,149.110001,2409300,147.074063,MMM
2015-10-19,147.970001,148.419998,147.229996,148,2004200,145.979218,MMM
2015-10-16,149.770004,149.779999,147.479996,148.699997,2490300,146.669657,MMM
2015-10-15,149.639999,149.880005,148.020004,149.190002,2588500,147.152972,MMM
2015-10-14,149,149.660004,148.179993,148.320007,2260300,146.294856,MMM
2015-10-13,148.910004,150,148.729996,149.110001,2027600,147.074063,MMM
2015-10-12,150.259995,150.559998,149.539993,150.059998,1429300,148.011088,MMM
2015-10-09,149.559998,150.649994,149.300003,149.899994,2294000,147.853269,MMM
2015-10-08,146.649994,149.559998,146.589996,149.479996,2008800,147.439006,MMM
2015-10-07,146.740005,148.539993,146.130005,147.539993,1954000,145.525492,MMM
2015-10-06,145.990005,146.639999,145.399994,145.789993,2256800,143.799386,MMM
2015-10-05,144.300003,146.600006,143.630005,146.320007,2987200,144.322164,MMM
2015-10-02,139.080002,143.300003,138.570007,143.199997,3064400,141.244754,MMM
2015-10-01,142.210007,142.5,139.580002,140.800003,2486300,138.877529,MMM
2015-09-30,142.520004,143.229996,140.5,141.770004,3619300,139.834286,MMM
2015-09-29,138.619995,142.160004,138.429993,141.550003,4946000,139.617289,MMM
2015-09-28,138.300003,139.699997,138.300003,138.380005,3468900,136.490573,MMM
2015-09-25,139.619995,140.119995,138.570007,139.559998,3767200,137.654455,MMM
2015-09-24,136.630005,138.029999,135.389999,137.580002,2690300,135.701494,MMM
2015-09-23,138.529999,138.899994,136.860001,137.660004,2684500,135.780403,MMM
2015-09-22,138.270004,138.509995,137.25,138.020004,2775300,136.135488,MMM
2015-09-21,140.5,141.080002,139.350006,140.039993,2492600,138.127896,MMM
2015-09-18,141.169998,141.300003,139.210007,139.619995,6526000,137.713633,MMM
2015-09-17,143.809998,145.550003,142.520004,142.949997,2855100,140.998167,MMM
2015-09-16,143.509995,144.460007,143.210007,144.199997,2060300,142.2311,MMM
2015-09-15,141.559998,143.839996,141.039993,143.600006,2690800,141.639301,MMM
2015-09-14,141.520004,141.580002,140.029999,140.809998,2277200,138.887387,MMM
2015-09-11,140.610001,141.330002,139.770004,141.259995,2505200,139.33124,MMM
2015-09-10,141,141.910004,140.149994,140.779999,2031200,138.857798,MMM
2015-09-09,144.860001,145.350006,140.570007,140.860001,2642800,138.936707,MMM
2015-09-08,142.050003,143.550003,141.520004,143.429993,2432900,141.471609,MMM
2015-09-04,139.940002,140.669998,139.160004,139.839996,3195800,137.93063,MMM
2015-09-03,141.940002,142.899994,141.309998,141.740005,2606200,139.804697,MMM
2015-09-02,140.539993,141.240005,139.240005,141.240005,3312700,139.311524,MMM
2015-09-01,139.479996,140.490005,137.940002,138.5,3671400,136.60893,MMM
2015-08-31,143,143.830002,142.020004,142.139999,2514900,140.199229,MMM
2015-08-28,143.020004,144.320007,142.800003,144.210007,2664100,142.240973,MMM
2015-08-27,143.75,144.949997,141.330002,143.899994,4104600,141.935193,MMM
2015-08-26,140,142.789993,138.529999,142.720001,4562200,140.771312,MMM
2015-08-25,141.860001,142.059998,137.389999,137.639999,5435900,135.760672,MMM
2015-08-24,137.119995,142.089996,134,138.580002,7359500,136.68784,MMM
2015-08-21,143.520004,145.320007,141.919998,142.089996,5442000,140.149909,MMM
2015-08-20,144.509995,144.869995,143.339996,143.350006,3281700,141.392715,MMM
2015-08-19,146.199997,147.550003,145.279999,145.869995,2525700,143.878296,MMM
2015-08-18,148.630005,148.919998,147.880005,148.309998,1705500,145.273982,MMM
2015-08-17,147.429993,149.309998,146.360001,149.240005,1648900,146.184952,MMM
2015-08-14,147.660004,148.509995,147.320007,148.279999,1401900,145.244598,MMM
2015-08-13,148,148.559998,147.080002,147.399994,1793100,144.382607,MMM
2015-08-12,147.240005,148.710007,146.070007,148.520004,2036700,145.47969,MMM
2015-08-11,150,150,148.259995,148.479996,1810800,145.440501,MMM
2015-08-10,150,151.399994,149.889999,151.240005,1571800,148.144011,MMM
2015-08-07,148.479996,150,148.160004,148.889999,1668700,145.842111,MMM
2015-08-06,150.889999,151.220001,148.899994,149.259995,1764800,146.204532,MMM
2015-08-05,151.850006,153.240005,150.919998,151.009995,1765600,147.918708,MMM
2015-08-04,150.929993,151.539993,150.110001,150.399994,1811900,147.321195,MMM
2015-08-03,150.789993,151.779999,148.940002,150.119995,2355100,147.046928,MMM
2015-07-31,152.529999,152.809998,151.029999,151.339996,1619600,148.241955,MMM
2015-07-30,151,151.729996,150.330002,151.570007,2119100,148.467257,MMM
2015-07-29,151.440002,151.690002,150.710007,151.449997,2176900,148.349704,MMM
2015-07-28,148.850006,151.720001,148.320007,151.110001,3277700,148.016667,MMM
2015-07-27,148.639999,149,147.699997,148.710007,3117600,145.665803,MMM
2015-07-24,148.860001,150.800003,148.699997,149.330002,3433600,146.273106,MMM
2015-07-23,151.919998,153.690002,149.020004,149.5,5176400,146.439625,MMM
2015-07-22,155.589996,156.309998,154.440002,155.410004,3067700,152.228646,MMM
2015-07-21,156.75,157.179993,155.339996,155.759995,2743900,152.571472,MMM
2015-07-20,156.770004,157.649994,156.270004,157.119995,2349000,153.903633,MMM
2015-07-17,156.5,157.369995,156.429993,156.690002,2429000,153.482442,MMM
2015-07-16,157.580002,157.940002,156.690002,157.169998,2023900,153.952612,MMM
2015-07-15,156.570007,157,155.899994,156,1786100,152.806565,MMM
2015-07-14,156.490005,157.080002,156.279999,156.779999,1811400,153.570596,MMM
2015-07-13,156.419998,156.770004,155.649994,156.470001,2107200,153.266945,MMM
2015-07-10,154.740005,155.860001,154.5,154.949997,2061300,151.778056,MMM
2015-07-09,154.589996,155.5,153.75,153.75,2069200,150.602624,MMM
2015-07-08,154.080002,154.5,152.699997,152.710007,2613300,149.58392,MMM
